ParentCorpID,LocationID,Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2018,2.187601396
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2019,1.635515733
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2020,2.213992215
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2021,2.858379259
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2022,2.046948032
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2023,1.971921902
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2024,2.095102689
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2025,3.110642893
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2026,3.240892335
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2027,2.780149835
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2028,2.90537337
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2029,2.163159146
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2030,2.329184794
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2031,3.711185658
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP8.5,2032,2.241528973
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2018,0.761503
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2019,0.737418886
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2020,0.718042878
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2021,0.987505345
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2022,1.004965593
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2023,1.488800729
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2024,1.283000268
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2025,1.575491642
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2026,0.874583478
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2027,0.889636365
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2028,1.84353038
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2029,1.385171914
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2030,1.489001423
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2031,1.670036079
1,1,Boise,Transition,Policy & Legal,Increased pricing of GHG emissions,RCP4.5,2032,1.482799449
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2018,0.800100259
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2019,1.000459853
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2020,0.726936602
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2021,1.111172921
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2022,0.993548604
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2023,1.30155721
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2024,1.515883546
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2025,1.207265238
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2026,0.923770202
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2027,0.996490302
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2028,1.016678288
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2029,1.709537929
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2030,0.987627862
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2031,1.737881819
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP8.5,2032,1.529992309
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP4.5,2018,0.366685663
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP4.5,2019,0.331502932
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP4.5,2020,0.346640154
1,1,Boise,Transition,Policy & Legal,Exposure to litigation,RCP4.5,2021,0.615887602
